condition,seed,checkpoint,epoch,layer,E0,EA,EB,EAB,R_interaction,R_separable,spectral_entropy,participation_ratio,test_accuracy
RAW,42,ckpt_epoch_0.pt,0,0,0.9914710315766619,0.0008232528955542159,0.0047566677029519016,0.002949047824831858,0.3457684069696311,0.6542315930303689,0.05563976882169282,1.0286481347276817,0.0071732199787460146
RAW,42,ckpt_epoch_0.pt,0,1,0.9520598464302377,0.006828425392274874,0.021262114461896756,0.019849613715590655,0.41404985669696676,0.5859501433030332,0.24804441716269826,1.4443975832247833,0.0071732199787460146
RAW,42,ckpt_epoch_300.pt,300,0,0.6626936935671046,0.04918416340656607,0.17077219452518197,0.11734994850114748,0.3479032151582181,0.652096784841782,1.5257007246076708,4.579633146054578,0
RAW,42,ckpt_epoch_300.pt,300,1,0.24166847925279666,0.07900083214033271,0.4616479409721994,0.21768274763467121,0.28705485883032117,0.7129451411696789,2.57092746316918,8.200233794695682,0
RAW,42,ckpt_epoch_600.pt,600,0,0.6674765010982846,0.049616369521202346,0.16716366367513394,0.11574346570537909,0.34807604902410105,0.651923950975899,1.5003215664283276,4.506732952079435,0
RAW,42,ckpt_epoch_600.pt,600,1,0.2417186550798418,0.08035675982148244,0.46133283064044156,0.21659175445823423,0.2856350824258242,0.7143649175741759,2.5767523150399807,8.269988041328446,0
RAW,42,ckpt_epoch_1500.pt,1500,0,0.6833775849695616,0.0491884699121865,0.15704740952750137,0.11038653559075064,0.3486377791039798,0.6513622208960201,1.4237413688542113,4.430121500754128,0.05100956429330499
RAW,42,ckpt_epoch_1500.pt,1500,1,0.23917772405023868,0.08213265799368127,0.46285166354133855,0.21583795441474152,0.28369037190098484,0.7163096280990151,2.591175294603845,8.412641581032403,0.05100956429330499
RAW,42,ckpt_epoch_3000.pt,3000,0,0.7150263266548205,0.050578001206619136,0.13532445608128246,0.09907121605727798,0.34765041589394874,0.6523495841060513,1.3019800207380983,4.335418380294002,0.05526036131774708
RAW,42,ckpt_epoch_3000.pt,3000,1,0.2348428318283579,0.08330639732726716,0.46036817987516654,0.22148259096920836,0.28946025755524885,0.7105397424447513,2.6355641284615055,8.839108998343466,0.05526036131774708
RAW,42,ckpt_epoch_5000.pt,5000,0,0.3459006486734359,0.09795356481035244,0.3657707602811219,0.19037502623508978,0.2910490980445012,0.7089509019554989,2.508406079844991,7.337808558658422,0.06110520722635494
RAW,42,ckpt_epoch_5000.pt,5000,1,0.4031942515060697,0.07116233880131828,0.3725734243601553,0.15306998533245675,0.25648208938794015,0.7435179106120599,2.2657531094023886,6.059133195068331,0.06110520722635494
RAW,42,ckpt_epoch_6000.pt,6000,0,0.46469844944951544,0.08392427757166582,0.2849324137453481,0.1664448592334707,0.31093662826551666,0.6890633717344834,2.161472939456411,5.369596369758316,0.06615302869287991
RAW,42,ckpt_epoch_6000.pt,6000,1,0.36972746664475653,0.07396156312818526,0.3833171262113141,0.17299384401574408,0.2744746674820411,0.7255253325179588,2.403645368159,6.948999058317744,0.06615302869287991
RAW,42,ckpt_epoch_10000.pt,10000,0,0.6485452827574816,0.046572866907415036,0.19275598553189097,0.1121258648032124,0.319033603199131,0.680966396800869,1.4720111882825324,4.162559327200761,0.08581296493092455
RAW,42,ckpt_epoch_10000.pt,10000,1,0.2654320727226469,0.08067316557704603,0.40219495759883206,0.25169980410147497,0.34265014133463506,0.6573498586653649,2.7403110208637713,9.72658473768221,0.08581296493092455
RAW,42,ckpt_epoch_12000.pt,12000,0,0.7013149302074233,0.05886285454866022,0.12529355844104795,0.11452865680286861,0.38344285799890687,0.616557142001093,1.3830496184514292,4.144815834910467,0.11131774707757705
RAW,42,ckpt_epoch_12000.pt,12000,1,0.28708973469420707,0.11508681483035796,0.3423698789378067,0.25545357153762827,0.358325001012652,0.641674998987348,2.752449243380961,10.137833370837651,0.11131774707757705
RAW,42,ckpt_epoch_15000.pt,15000,0,0.6724436162536739,0.1186246776588528,0.06941421753453754,0.1395174885529358,0.42593426804035117,0.5740657319596489,1.574799629752538,5.367999912402899,0.1365568544102019
RAW,42,ckpt_epoch_15000.pt,15000,1,0.14366888218808707,0.15548438539015913,0.3514135199450851,0.3494332124766688,0.40805852456878633,0.5919414754312137,3.236841475114306,15.012930801505991,0.1365568544102019
RAW,42,ckpt_epoch_18000.pt,18000,0,0.6866010386864417,0.13450991344369712,0.04111087466719488,0.1377781732026663,0.4396254940513925,0.5603745059486076,1.5135551465010288,4.494349812839502,0.14373007438894791
RAW,42,ckpt_epoch_18000.pt,18000,1,0.13892167374566627,0.14695282394158515,0.3459446650121182,0.36818083730063045,0.42758112250044267,0.5724188774995573,3.307384904357332,15.360866312350646,0.14373007438894791
RAW,42,ckpt_epoch_20000.pt,20000,0,0.6511238270161406,0.1486897545670508,0.04012419689964024,0.1600622215171684,0.45879378963656997,0.5412062103634301,1.6030705023516836,5.351434670836092,0.14665249734325186
RAW,42,ckpt_epoch_20000.pt,20000,1,0.14756627082512633,0.14938767934455022,0.3372213002783435,0.3658247495519799,0.4291533019300933,0.5708466980699067,3.272792736906206,15.655814969786459,0.14665249734325186
RAW,42,ckpt_epoch_21000.pt,21000,0,0.7842266481271496,0.08883599653094364,0.025300272566786488,0.10163708277512028,0.4710363068142555,0.5289636931857445,1.081963372149582,3.2102270318895503,0.15621679064824653
RAW,42,ckpt_epoch_21000.pt,21000,1,0.1759737461357987,0.14675250673315918,0.29620109711711795,0.38107265001392415,0.4624520738591959,0.537547926140804,3.290975423278116,16.124226841382423,0.15621679064824653
RAW,42,ckpt_epoch_24000.pt,24000,0,0.6585505323874131,0.1452136968193128,0.04617195969119625,0.1500638111020778,0.43949054058078724,0.5605094594192127,1.5392451266831426,5.219397831233695,0.16126461211477153
RAW,42,ckpt_epoch_24000.pt,24000,1,0.07425280890092342,0.1550880815954882,0.32157359086705367,0.4490855186365348,0.48510600189168934,0.5148939981083106,3.565858010686655,22.6561790064988,0.16126461211477153
RAW,42,ckpt_epoch_25000.pt,25000,0,0.7675783385724624,0.09447406290285792,0.03427870488861176,0.10366889363606788,0.4460380026514391,0.5539619973485609,1.094669940938402,3.574431081127245,0.17109458023379384
RAW,42,ckpt_epoch_25000.pt,25000,1,0.11461219502525254,0.14354628402567451,0.28892767422382626,0.4529138467252467,0.5115429015177868,0.48845709848221314,3.54541759374353,22.09277400273857,0.17109458023379384
RAW,42,ckpt_epoch_25500.pt,25500,0,0.7019119216018361,0.055049493088422316,0.12367167583250352,0.11936690947723808,0.40044174231549323,0.5995582576845069,1.3279371399242401,4.951106035594824,0.109192348565356
RAW,42,ckpt_epoch_25500.pt,25500,1,0.13943597483269804,0.06803096162645145,0.2960261432475034,0.49650692029334703,0.5769552360695316,0.42304476393046836,3.61539532782622,23.295440327165014,0.109192348565356
RAW,42,ckpt_epoch_27000.pt,27000,0,0.8553411574354655,0.019648383364690915,0.07033301002519782,0.05467744917464576,0.3779751600753568,0.6220248399246432,0.6516276503138472,2.2751671078596227,0.12221041445270989
RAW,42,ckpt_epoch_27000.pt,27000,1,0.19190368611946998,0.059696023714769966,0.27657081425737273,0.47182947590838736,0.5838777727405191,0.41612222725948084,3.4650070072922166,19.149001581926584,0.12221041445270989
RAW,42,ckpt_epoch_27750.pt,27750,0,0.7536066196944808,0.032461997470587686,0.11043313600658893,0.10349824682834248,0.42005287114454254,0.5799471288554574,1.0856120707814105,3.732656561576086,0
RAW,42,ckpt_epoch_27750.pt,27750,1,0.14383393517420448,0.06619653228014985,0.30322657404855025,0.4867429584970954,0.5685146591229742,0.4314853408770257,3.5764823534139456,21.22950302219335,0
RAW,42,ckpt_epoch_28500.pt,28500,0,0.8467744673832309,0.01423338820386487,0.06734602747296677,0.07164611693993739,0.4675860198778413,0.5324139801221587,0.7073563513286419,2.2268816388685164,0.11928799149840595
RAW,42,ckpt_epoch_28500.pt,28500,1,0.14052660880727225,0.06645485400508419,0.3054436531582167,0.48757488402942695,0.5672949145671613,0.4327050854328387,3.5692978744316863,21.374706663799792,0.11928799149840595
RAW,42,ckpt_epoch_29250.pt,29250,0,0.8282423917161854,0.0196756985918983,0.05388903214249943,0.09819287754941683,0.571694485796295,0.428305514203705,0.7606518416016019,2.783125010169625,0
RAW,42,ckpt_epoch_29250.pt,29250,1,0.21077223789120336,0.054076049999399314,0.2630270544810172,0.4721246576283801,0.5982109098226283,0.40178909017737163,3.4392602200007127,18.908314008454116,0
RAW,42,ckpt_epoch_30000.pt,30000,0,0.793826744797465,0.012273405671230666,0.08741128418551844,0.10648856534578602,0.5165003833362215,0.4834996166637785,0.9992682576969527,3.132656095708251,0.12221041445270989
