condition,seed,checkpoint,epoch,test_accuracy,train_accuracy,A_eq,A_eq_true,KL_mean,KL_median,JS_mean,subgroup_eq_7,subgroup_eq_16
RAW,42,ckpt_epoch_0.pt,0,0.0071732199787460146,0.011786600496277916,0.0027,0,0.6357669788599014,0.6384787857532501,0,0,0
RAW,42,ckpt_epoch_300.pt,300,0,0,0.1262,0,15.818212156388245,18.834616661071777,0,0,0
RAW,42,ckpt_epoch_600.pt,600,0,0,0.1249,0,16.341157373772873,19.955256462097168,0,0,0
RAW,42,ckpt_epoch_1500.pt,1500,0.05100956429330499,1.0,0.1277,0,16.461693962101958,20.25722312927246,0,0,0
RAW,42,ckpt_epoch_3000.pt,3000,0.05526036131774708,1.0,0.1323,0,16.614521277848702,20.522174835205078,0,0,0
RAW,42,ckpt_epoch_5000.pt,5000,0.06110520722635494,1.0,0.131,0,16.571161975912226,20.963653564453125,0,0,0
RAW,42,ckpt_epoch_6000.pt,6000,0.06615302869287991,1.0,0.1307,0,16.526147426350896,20.92187786102295,0,0,0
RAW,42,ckpt_epoch_10000.pt,10000,0.08581296493092455,1.0,0.1393,0,16.002527590086938,19.97384262084961,0,0,0
RAW,42,ckpt_epoch_12000.pt,12000,0.11131774707757705,1.0,0.1548,0,15.833526178947068,19.993135452270508,0,0,0
RAW,42,ckpt_epoch_15000.pt,15000,0.1365568544102019,1.0,0.1656,0,15.8074977549621,20.54764461517334,0,0,0
RAW,42,ckpt_epoch_18000.pt,18000,0.14373007438894791,1.0,0.1706,0,16.75938568065976,22.342520713806152,0,0,0
RAW,42,ckpt_epoch_20000.pt,20000,0.14665249734325186,1.0,0.1823,0,16.61766188681515,22.386171340942383,0,0,0
RAW,42,ckpt_epoch_21000.pt,21000,0.15621679064824653,1.0,0.1844,0,15.2566181981939,19.73784637451172,0,0,0
RAW,42,ckpt_epoch_24000.pt,24000,0.16126461211477153,1.0,0.1786,0,15.81410267240555,21.41934108734131,0,0,0
RAW,42,ckpt_epoch_25000.pt,25000,0.17109458023379384,1.0,0.1835,0,15.120966062164094,19.563910484313965,0,0,0
RAW,42,ckpt_epoch_25500.pt,25500,0.109192348565356,1.0,0.1492,0,18.58442683645606,22.97218894958496,0,0,0
RAW,42,ckpt_epoch_27000.pt,27000,0.12221041445270989,1.0,0.1552,0,16.612882178617017,21.9342679977417,0,0,0
RAW,42,ckpt_epoch_27750.pt,27750,0,0,0.1501,0,18.387204576545486,22.933256149291992,0,0,0
RAW,42,ckpt_epoch_28500.pt,28500,0.11928799149840595,1.0,0.1505,0,16.903542275758543,22.18707847595215,0,0,0
RAW,42,ckpt_epoch_29250.pt,29250,0,0,0.1564,0,16.46459081436231,21.75597858428955,0,0,0
RAW,42,ckpt_epoch_30000.pt,30000,0.12221041445270989,1.0,0.1618,0,17.88442287374589,22.851999282836914,0,0,0
RAW,42,ckpt_epoch_30749.pt,30749,0,0,0.1569,0,16.48272816342881,21.843931198120117,0,0,0
RAW,42,ckpt_epoch_31500.pt,31500,0.12300743889479278,1.0,0.1533,0,16.18647393308582,21.35404109954834,0,0,0
RAW,42,ckpt_epoch_33000.pt,33000,0.13177470775770456,1.0,0.1639,0,16.127615893776692,21.38098907470703,0,0,0
RAW,42,ckpt_epoch_35000.pt,35000,0.140807651434644,1.0,0.1589,0,16.24635810104821,21.6580171585083,0,0,0
RAW,42,ckpt_epoch_37500.pt,37500,0.1594048884165781,1.0,0.1774,0,15.420305710996375,20.049205780029297,0,0,0
RAW,42,ckpt_epoch_40000.pt,40000,0.2481402763018066,0.9968982630272953,0.2234,0,16.01026590713213,22.57423973083496,0,0,0
RAW,42,ckpt_epoch_45000.pt,45000,0.6238044633368757,1.0,0.5232,0,7.436293767123565,2.2246694564819336,0,0,0
RAW,42,ckpt_epoch_50000.pt,50000,0.9208289054197663,1.0,0.8894,0,1.6135499616894093,0.0012695714249275625,0,0,0
RAW,42,ckpt_epoch_55000.pt,55000,0.9527098831030818,1.0,0.9363,0,0.8737301704906675,0.0009196976025123149,0,0,0
RAW,42,ckpt_epoch_60000.pt,60000,0.9659936238044633,1.0,0.946,0,0.7515035722031976,0.001100210938602686,0,0,0
RAW,42,ckpt_epoch_65000.pt,65000,0.9471307120085016,1.0,0.9267,0,1.3882977809648125,7.81905691837892e-05,0,0,0
