condition,seed,checkpoint,epoch,layer,train_acc,test_acc,train_loss,test_loss,A_eq,A_eq_true,KL_eq,EA,EB,EAB,R_interaction,R_separable,spectral_entropy,participation_ratio,probe_x,probe_A,probe_B,effective_rank,grok_status,representation_type,algebraic_alignment,factorized,invertible,number_channels,parameter_count
RAW,42,ckpt_epoch_0.pt,0,0,0.011786600496277916,0.0071732199787460146,0,0,0.0027,0,0.6357669788599014,0.0008232528955542159,0.0047566677029519016,0.002949047824831858,0.3457684069696311,0.6542315930303689,0.05563976882169282,1.0286481347276817,0.026038437693738377,0.19838809671419716,0.1791692498450093,36.73973083496094,training,RAW,0,0,0,1,427253
RAW,42,ckpt_epoch_0.pt,0,1,0.011786600496277916,0.0071732199787460146,0,0,0.0027,0,0.6357669788599014,0.006828425392274874,0.021262114461896756,0.019849613715590655,0.41404985669696676,0.5859501433030332,0.24804441716269826,1.4443975832247833,0.02045877247365158,0.20644761314321142,0.19342839429634223,36.80695724487305,training,RAW,0,0,0,1,427253
RAW,42,ckpt_epoch_300.pt,300,0,0,0,0,0,0.1262,0,15.818212156388245,0.04918416340656607,0.17077219452518197,0.11734994850114748,0.3479032151582181,0.652096784841782,1.5257007246076708,4.579633146054578,0.03595784252944823,0.2467451952882827,0.23992560446373218,23.673831939697266,training,RAW,0,0,0,1,427253
RAW,42,ckpt_epoch_300.pt,300,1,0,0,0,0,0.1262,0,15.818212156388245,0.07900083214033271,0.4616479409721994,0.21768274763467121,0.28705485883032117,0.7129451411696789,2.57092746316918,8.200233794695682,0.06695598264104154,0.3013019218846869,0.2845629262244265,10.69590950012207,training,RAW,0,0,0,1,427253
RAW,42,ckpt_epoch_600.pt,600,0,0,0,0,0,0.1249,0,16.341157373772873,0.049616369521202346,0.16716366367513394,0.11574346570537909,0.34807604902410105,0.651923950975899,1.5003215664283276,4.506732952079435,0.0347179169249845,0.24922504649721017,0.23992560446373218,23.674808502197266,training,RAW,0,0,0,1,427253
RAW,42,ckpt_epoch_600.pt,600,1,0,0,0,0,0.1249,0,16.341157373772873,0.08035675982148244,0.46133283064044156,0.21659175445823423,0.2856350824258242,0.7143649175741759,2.5767523150399807,8.269988041328446,0.06881587104773713,0.3019218846869188,0.28580285182889026,10.436494827270508,training,RAW,0,0,0,1,427253
RAW,42,ckpt_epoch_1500.pt,1500,0,1.0,0.05100956429330499,0,0,0.1277,0,16.461693962101958,0.0491884699121865,0.15704740952750137,0.11038653559075064,0.3486377791039798,0.6513622208960201,1.4237413688542113,4.430121500754128,0.03595784252944823,0.24922504649721017,0.23496590204587725,23.291942596435547,memorized,RAW,0,0,0,1,427253
RAW,42,ckpt_epoch_1500.pt,1500,1,1.0,0.05100956429330499,0,0,0.1277,0,16.461693962101958,0.08213265799368127,0.46285166354133855,0.21583795441474152,0.28369037190098484,0.7163096280990151,2.591175294603845,8.412641581032403,0.06819590824550527,0.3013019218846869,0.29324240545567265,9.948378562927246,memorized,RAW,0,0,0,1,427253
RAW,42,ckpt_epoch_3000.pt,3000,0,1.0,0.05526036131774708,0,0,0.1323,0,16.614521277848702,0.050578001206619136,0.13532445608128246,0.09907121605727798,0.34765041589394874,0.6523495841060513,1.3019800207380983,4.335418380294002,0.0347179169249845,0.24922504649721017,0.23434593924364538,22.975736618041992,memorized,RAW,0,0,0,1,427253
RAW,42,ckpt_epoch_3000.pt,3000,1,1.0,0.05526036131774708,0,0,0.1323,0,16.614521277848702,0.08330639732726716,0.46036817987516654,0.22148259096920836,0.28946025755524885,0.7105397424447513,2.6355641284615055,8.839108998343466,0.07873527588344699,0.2994420334779913,0.2926224426534408,8.899192810058594,memorized,RAW,0,0,0,1,427253
