name,variant,p,layer,subspace,k,alpha,accuracy,delta_accuracy,rank,variance_fraction,is_random_control,variance_matched,trial,percentile
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,52,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,53,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,54,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,55,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,56,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,57,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,58,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,59,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,60,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,61,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.975,0.007000000000000006,2,,1,0,62,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,63,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,64,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,65,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,66,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,67,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,68,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,69,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,70,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,71,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,72,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.975,0.007000000000000006,2,,1,0,73,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,74,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.975,0.007000000000000006,2,,1,0,75,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,76,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.975,0.007000000000000006,2,,1,0,77,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,78,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,79,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,80,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.975,0.007000000000000006,2,,1,0,81,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,82,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,83,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,84,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,85,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,86,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,87,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,88,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,89,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,90,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,91,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,92,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.97,0.0020000000000000018,2,,1,0,93,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.975,0.007000000000000006,2,,1,0,94,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,95,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.975,0.007000000000000006,2,,1,0,96,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,97,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,98,
RAW_p113_s42,RAW,113,0,random_A,2,1.0,0.98,0.01200000000000001,2,,1,0,99,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,0,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.98,0.01200000000000001,2,0.6335174559295181,1,1,1,
RAW_p113_s42,RAW,113,0,var_matched_A,2,1.0,0.975,0.007000000000000006,2,0.6335174559295181,1,1,2,
