name,variant,p,layer,subspace,alpha,accuracy,delta_accuracy,equivariance,delta_equivariance,rank,is_random_control,is_energy_matched
CRT-16_p113_s42,CRT-16,113,0,B,0.0,0.122,0.0,0.148,0.0,15,0,0
CRT-16_p113_s42,CRT-16,113,0,B,0.25,0.124,0.0020000000000000018,0.16,0.01200000000000001,15,0,0
CRT-16_p113_s42,CRT-16,113,0,B,0.5,0.134,0.01200000000000001,0.162,0.014000000000000012,15,0,0
CRT-16_p113_s42,CRT-16,113,0,B,0.75,0.104,-0.018000000000000002,0.104,-0.044,15,0,0
CRT-16_p113_s42,CRT-16,113,0,B,1.0,0.01,-0.112,0.008,-0.13999999999999999,15,0,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.13,0.008000000000000007,0.19,0.04200000000000001,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.115,-0.006999999999999992,0.165,0.017000000000000015,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.12,-0.0020000000000000018,0.185,0.037000000000000005,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.135,0.013000000000000012,0.175,0.026999999999999996,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.135,0.013000000000000012,0.15,0.0020000000000000018,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.14,0.018000000000000016,0.17,0.02200000000000002,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.135,0.013000000000000012,0.175,0.026999999999999996,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.135,0.013000000000000012,0.18,0.032,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.135,0.013000000000000012,0.18,0.032,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.135,0.013000000000000012,0.165,0.017000000000000015,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.135,0.013000000000000012,0.185,0.037000000000000005,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.14,0.018000000000000016,0.175,0.026999999999999996,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.145,0.022999999999999993,0.18,0.032,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.135,0.013000000000000012,0.19,0.04200000000000001,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.135,0.013000000000000012,0.175,0.026999999999999996,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.14,0.018000000000000016,0.18,0.032,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.135,0.013000000000000012,0.19,0.04200000000000001,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.14,0.018000000000000016,0.18,0.032,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.135,0.013000000000000012,0.19,0.04200000000000001,15,1,0
CRT-16_p113_s42,CRT-16,113,0,random_B,1.0,0.145,0.022999999999999993,0.18,0.032,15,1,0
CRT-16_p113_s42,CRT-16,113,1,B,0.0,0.122,0.0,0.148,0.0,15,0,0
CRT-16_p113_s42,CRT-16,113,1,B,0.25,0.126,0.0040000000000000036,0.154,0.006000000000000005,15,0,0
CRT-16_p113_s42,CRT-16,113,1,B,0.5,0.126,0.0040000000000000036,0.162,0.014000000000000012,15,0,0
CRT-16_p113_s42,CRT-16,113,1,B,0.75,0.084,-0.03799999999999999,0.05,-0.09799999999999999,15,0,0
CRT-16_p113_s42,CRT-16,113,1,B,1.0,0.012,-0.11,0.006,-0.142,15,0,0
CRT-16_p113_s42,CRT-16,113,1,random_B,1.0,0.165,0.04300000000000001,0.115,-0.03299999999999999,15,1,0
CRT-16_p113_s42,CRT-16,113,1,random_B,1.0,0.175,0.05299999999999999,0.14,-0.00799999999999998,15,1,0
CRT-16_p113_s42,CRT-16,113,1,random_B,1.0,0.145,0.022999999999999993,0.125,-0.022999999999999993,15,1,0
CRT-16_p113_s42,CRT-16,113,1,random_B,1.0,0.1,-0.021999999999999992,0.15,0.0020000000000000018,15,1,0
CRT-16_p113_s42,CRT-16,113,1,random_B,1.0,0.155,0.033,0.175,0.026999999999999996,15,1,0
